name,quantity,cost_price,unit_price,category,location
EXPEL DROPS,3,110,130,SYRUP AND SUSPENSION,LEFT SIDE SHELF
EXPEL SYRUP,3,122,140,SYRUP AND SUSPENSION,LEFT SIDE SHELF
AMBROXOL DROPS,3,15,30,SYRUP AND SUSPENSION,LEFT SIDE SHELF
AMBROXOL SYRUP,2,14.75,40,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CARBOCISTEINE DROPS,6,14.25,30,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CARBOCISTEINE SYRUP,3,14.75,40,SYRUP AND SUSPENSION,LEFT SIDE SHELF
SOLMUX DROPS,0,110,125,SYRUP AND SUSPENSION,LEFT SIDE SHELF
SOLMUX SYRUP 100MG,0,108,125,SYRUP AND SUSPENSION,LEFT SIDE SHELF
SOLMUX SYRUP 200MG,0,113,130,SYRUP AND SUSPENSION,LEFT SIDE SHELF
ASCOF 300MG SYRUP KIDS,0,93.45,110,SYRUP AND SUSPENSION,LEFT SIDE SHELF
ASCOF 600MG SYRUP ADULT 60ML,0,116,140,SYRUP AND SUSPENSION,LEFT SIDE SHELF
ASCOF 600MG SYRUP ADULT 120ML,0,175.56,210,SYRUP AND SUSPENSION,LEFT SIDE SHELF
VITEX NEGUNDO L. LAGUNDI LEAF (OFLAMED) SYR.,0,43,75,SYRUP AND SUSPENSION,LEFT SIDE SHELF
PLEMEX SYRUP KIDS 60ML,0,109,125,SYRUP AND SUSPENSION,LEFT SIDE SHELF
PLEMEX SYRUP ADULT 60ML,0,130,150,SYRUP AND SUSPENSION,LEFT SIDE SHELF
GUAIFE PHENYL HCI +CHLORPHENAMINE (MEDBRON) 120ML,2,49.5,80,SYRUP AND SUSPENSION,LEFT SIDE SHELF
NEO-BROMEXAN SYRUP 60ML,0,125.82,150,SYRUP AND SUSPENSION,LEFT SIDE SHELF
MUCOBRON-D SYRUP 60ML,0,128,140,SYRUP AND SUSPENSION,LEFT SIDE SHELF
MEPTIN SYRUP,0,218,250,SYRUP AND SUSPENSION,LEFT SIDE SHELF
BREZU SYRUP,0,208,250,SYRUP AND SUSPENSION,LEFT SIDE SHELF
ROBITUSSIN DM SYRUP 60ML,0,118,135,SYRUP AND SUSPENSION,LEFT SIDE SHELF
SALBUTAMOL SYRUP (NOBUTOL),4,14.5,50,SYRUP AND SUSPENSION,LEFT SIDE SHELF
SALBUTAMOL+GUAIFENESIN SYRUP,3,16.5,50,SYRUP AND SUSPENSION,LEFT SIDE SHELF
BIOGESIC DROPS,5,70,80,SYRUP AND SUSPENSION,LEFT SIDE SHELF
BIOGESIC 120MG,5,82,95,SYRUP AND SUSPENSION,LEFT SIDE SHELF
BIOGESIC 250MG,5,128,150,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CALPOL DROPS,0,63,80,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CALPOL 120MG,5,98,110,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CALPOL 250MG,0,141,165,SYRUP AND SUSPENSION,LEFT SIDE SHELF
TEMPRA DROPS,5,75,90,SYRUP AND SUSPENSION,LEFT SIDE SHELF
TEMPRA 120MG,5,95,110,SYRUP AND SUSPENSION,LEFT SIDE SHELF
TEMPRA 250MG,5,145,165,SYRUP AND SUSPENSION,LEFT SIDE SHELF
MYREMOL DROPS,2,25.5,30,SYRUP AND SUSPENSION,LEFT SIDE SHELF
MYREMOL 125MG,0,29,45,SYRUP AND SUSPENSION,LEFT SIDE SHELF
MILGESIC 125MG,0,18,35,SYRUP AND SUSPENSION,LEFT SIDE SHELF
MYREMOL 250MG,0,29.5,50,SYRUP AND SUSPENSION,LEFT SIDE SHELF
MEFENAMIC ACID SYRUP,1,18,40,SYRUP AND SUSPENSION,LEFT SIDE SHELF
IBUFROPEN SUSPENSION 200MG (SQFEN),0,33,75,SYRUP AND SUSPENSION,LEFT SIDE SHELF
DOLAN FP 100MG,0,93,110,SYRUP AND SUSPENSION,LEFT SIDE SHELF
DOLAN FP 200MG,0,145,165,SYRUP AND SUSPENSION,LEFT SIDE SHELF
NYSTATIN DROPS,2,165,200,SYRUP AND SUSPENSION,LEFT SIDE SHELF
SALINASE DROPS,0,78,100,SYRUP AND SUSPENSION,LEFT SIDE SHELF
SALINASE NASAL SPRAY,0,99,110,SYRUP AND SUSPENSION,LEFT SIDE SHELF
VICKS FORMULA 44 54ML SYRUP,0,92.02,110,SYRUP AND SUSPENSION,LEFT SIDE SHELF
RESTIME DROPS,0,117,135,SYRUP AND SUSPENSION,LEFT SIDE SHELF
RELESTAL DROPS,0,142,175,SYRUP AND SUSPENSION,LEFT SIDE SHELF
RELESTAL SYRUP,0,186,210,SYRUP AND SUSPENSION,LEFT SIDE SHELF
DICYCLOVERINE SYRUP,2,16.25,50,SYRUP AND SUSPENSION,LEFT SIDE SHELF
METOCLOPRAMIDE SYRUP,3,22,40,SYRUP AND SUSPENSION,LEFT SIDE SHELF
METRONIDAZOLE 125MG SUSPENSION,1,18.25,50,SYRUP AND SUSPENSION,LEFT SIDE SHELF
ALLERKID DROPS,0,172,200,SYRUP AND SUSPENSION,LEFT SIDE SHELF
ALLERKID SYRUP 30ML,0,158,185,SYRUP AND SUSPENSION,LEFT SIDE SHELF
ALLERKID SYRUP 60ML,0,281,300,SYRUP AND SUSPENSION,LEFT SIDE SHELF
ALNIX DROPS,0,196,215,SYRUP AND SUSPENSION,LEFT SIDE SHELF
ALNIX SYRUP 30ML,0,162.15,200,SYRUP AND SUSPENSION,LEFT SIDE SHELF
ALNIX SYRUP 60ML,0,281,310,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CETIRIZINE DROPS,5,21,60,SYRUP AND SUSPENSION,LEFT SIDE SHELF
CETIRIZINE SYRUP,0,22,80,SYRUP AND SUSPENSION,LEFT SIDE SHELF
DIPHENHYDRAMINE SYRUP,2,13,50,SYRUP AND SUSPENSION,LEFT SIDE SHELF
PREDNISONE SUSPENSION 60ML,2,41,150,SYRUP AND SUSPENSION,LEFT SIDE SHELF
DISUDRIN DROPS,4,124,140,SYRUP AND SUSPENSION,LEFT SIDE SHELF
DISUDRIN SYRUP,1,129,140,SYRUP AND SUSPENSION,LEFT SIDE SHELF
NEOSEP DROPS,3,105,110,SYRUP AND SUSPENSION,LEFT SIDE SHELF
NEOSEP SYRUP,0,106,125,SYRUP AND SUSPENSION,LEFT SIDE SHELF
NASATAPP DROPS,0,118.4,120,SYRUP AND SUSPENSION,LEFT SIDE SHELF
NASATAPP SYRUP,0,118.4,135,SYRUP AND SUSPENSION,LEFT SIDE SHELF
SYMDEX DROPS,5,30,50,SYRUP AND SUSPENSION,LEFT SIDE SHELF
SYMDEX SYRUP,5,34.56,80,SYRUP AND SUSPENSION,LEFT SIDE SHELF
OFF COLDS SYRUP,4,34.56,80,SYRUP AND SUSPENSION,LEFT SIDE SHELF
