name,quantity,cost_price,unit_price,category,location
PARACETAMOL 500MG,0,0.6,3,TABLETS AND CAPSULES,RIGHT SIDE SHELF
BIOGESIC 500MG,300,4,5,TABLETS AND CAPSULES,RIGHT SIDE SHELF
TEMPRA 325NG,11,4,5,TABLETS AND CAPSULES,RIGHT SIDE SHELF
ALLERTA 10MG,0,22.5,25,TABLETS AND CAPSULES,RIGHT SIDE SHELF
CLARITIN TABLET 10MG,0,31.2,36,TABLETS AND CAPSULES,RIGHT SIDE SHELF
CLARICORT TABLET,0,36,40,TABLETS AND CAPSULES,RIGHT SIDE SHELF
CETIRIZINE 10MG TABLET,59,0.48,5,TABLETS AND CAPSULES,RIGHT SIDE SHELF
DEXAMETHASONE TABLET,120,0.58,5,TABLETS AND CAPSULES,RIGHT SIDE SHELF
DECILON FORTE,0,28.55,34,TABLETS AND CAPSULES,RIGHT SIDE SHELF
LEVOCETIRIZINE TABLET,0,2.63,15,TABLETS AND CAPSULES,RIGHT SIDE SHELF
LORATADINE 10MG,20,2.08,8,TABLETS AND CAPSULES,RIGHT SIDE SHELF
PREDNISONE 5MG TABLET,83,0.65,5,TABLETS AND CAPSULES,RIGHT SIDE SHELF
PREDNISONE 10MG TABLET,52,1.57,8,TABLETS AND CAPSULES,RIGHT SIDE SHELF
PREDNISONE 20MG TABLET,97,3.18,10,TABLETS AND CAPSULES,RIGHT SIDE SHELF
CELECOXIB 200MG,0,2.8,15,TABLETS AND CAPSULES,RIGHT SIDE SHELF
CELECOXIB 400MG,41,10.75,25,TABLETS AND CAPSULES,RIGHT SIDE SHELF
CELEBREX 200MG,0,69.75,80,TABLETS AND CAPSULES,RIGHT SIDE SHELF
TRAMADOL+PARACETAMOL 325MG (DOLSAPH),64,4.51,20,TABLETS AND CAPSULES,RIGHT SIDE SHELF
ALGESIA TABLET,3,51.35,60,TABLETS AND CAPSULES,RIGHT SIDE SHELF
DOLCET TABLET,0,54.45,62,TABLETS AND CAPSULES,RIGHT SIDE SHELF
DICLOFENAC TABLET,34,0.7,5,TABLETS AND CAPSULES,RIGHT SIDE SHELF
FLANAX FORTE TABLET,20,22,25,TABLETS AND CAPSULES,RIGHT SIDE SHELF
NORGESIC FORTE TABLET,10,37.5,40,TABLETS AND CAPSULES,RIGHT SIDE SHELF
MEFENAMIC ACID 500MG CAPSULES,0,0.88,5,TABLETS AND CAPSULES,RIGHT SIDE SHELF
MEFENAMIC ACID 250MG CAPSULES,62,0.6,3,TABLETS AND CAPSULES,RIGHT SIDE SHELF
MEFENAMIC ACID 500MG CAPSULES RITEMED,0,6.7,7,TABLETS AND CAPSULES,RIGHT SIDE SHELF
DOLFENAL 500MG,20,30.8,35,TABLETS AND CAPSULES,RIGHT SIDE SHELF
PONSTAN SF 500MG,20,38.5,42,TABLETS AND CAPSULES,RIGHT SIDE SHELF
ARCOXIA 60MG TAB.,10,59,65,TABLETS AND CAPSULES,RIGHT SIDE SHELF
ARCOXIA 90MG TAB.,10,66.75,75,TABLETS AND CAPSULES,RIGHT SIDE SHELF
ARCOXIA 120MG TAB.,10,80,87,TABLETS AND CAPSULES,RIGHT SIDE SHELF
ADVIL,20,8.5,10,TABLETS AND CAPSULES,RIGHT SIDE SHELF
MEDICOL 200MG,30,6.25,8,TABLETS AND CAPSULES,RIGHT SIDE SHELF
MEDICOL 400MG,0,10.37,13,TABLETS AND CAPSULES,RIGHT SIDE SHELF
MUSKELAX TABLET,0,12.2,15,TABLETS AND CAPSULES,RIGHT SIDE SHELF
MIDOL,20,10,12,TABLETS AND CAPSULES,RIGHT SIDE SHELF
MYONAL TABLET,0,25,30,TABLETS AND CAPSULES,RIGHT SIDE SHELF
MELOXICAM 15MG TABLET,0,1.6,15,TABLETS AND CAPSULES,RIGHT SIDE SHELF
SKELAN FORTE,20,21.5,25,TABLETS AND CAPSULES,RIGHT SIDE SHELF
TRAMADOL CAPSULES,57,2.1,6,TABLETS AND CAPSULES,RIGHT SIDE SHELF
BIOFLU,100,8,10,TABLETS AND CAPSULES,RIGHT SIDE SHELF
NASATAPP TABLET,0,8.5,10,TABLETS AND CAPSULES,RIGHT SIDE SHELF
NEO-BROMEXAN,0,9.67,12,TABLETS AND CAPSULES,RIGHT SIDE SHELF
DECOLGEN,40,6.75,9,TABLETS AND CAPSULES,RIGHT SIDE SHELF
NAFARIN-A,20,8,10,TABLETS AND CAPSULES,RIGHT SIDE SHELF
DECOLSIN,0,12.25,15,TABLETS AND CAPSULES,RIGHT SIDE SHELF
NEOSEP TABLET,200,5.75,7,TABLETS AND CAPSULES,RIGHT SIDE SHELF
SYMDEX-D TABLET,0,1.6,5,TABLETS AND CAPSULES,RIGHT SIDE SHELF
FENOFIBRATE 200MG,0,8.26,20,TABLETS AND CAPSULES,RIGHT SIDE SHELF
ATORVASTATINE 20MG,40,2.3,10,TABLETS AND CAPSULES,RIGHT SIDE SHELF
ATORVASTATINE 40MG,25,5.95,20,TABLETS AND CAPSULES,RIGHT SIDE SHELF
ROSUVASTATINE 10MG,50,6.26,10,TABLETS AND CAPSULES,RIGHT SIDE SHELF
GLICLAZIDE 80MG,97,1.89,5,TABLETS AND CAPSULES,RIGHT SIDE SHELF
METFORMIN 500MG,40,0.85,3,TABLETS AND CAPSULES,RIGHT SIDE SHELF
TRANEXAMIC CAPSULES 500MG,34,5.3,10,TABLETS AND CAPSULES,RIGHT SIDE SHELF
AMBROXOL 75MG CAP.,0,3.96,10,TABLETS AND CAPSULES,RIGHT SIDE SHELF
AMBROXOL 30MG TAB.,32,0.33,5,TABLETS AND CAPSULES,RIGHT SIDE SHELF
ASFLEM 600MG,44,2,6,TABLETS AND CAPSULES,RIGHT SIDE SHELF
ASCOF FORTE 600MG,3,6.81,10,TABLETS AND CAPSULES,RIGHT SIDE SHELF
CARBOCISTEIN 500MG CAP.,65,0.98,5,TABLETS AND CAPSULES,RIGHT SIDE SHELF
FLUIMUCIL 100MG,0,12,18,TABLETS AND CAPSULES,RIGHT SIDE SHELF
FLUIMUCIL 200MG,0,15.87,20,TABLETS AND CAPSULES,RIGHT SIDE SHELF
FLUIMUCIL 600MG,0,33,45,TABLETS AND CAPSULES,RIGHT SIDE SHELF
ACETYLCYSTEIN 600MG (FLUCYSTEINE),0,19.35,30,TABLETS AND CAPSULES,RIGHT SIDE SHELF
ERDOSTEINE 300MG,0,27,30,TABLETS AND CAPSULES,RIGHT SIDE SHELF
MUCOBRON FORTE CAPSULE,30,13.25,15,TABLETS AND CAPSULES,RIGHT SIDE SHELF
MONTELUKAST 5MG TABLET,11,3,12,TABLETS AND CAPSULES,RIGHT SIDE SHELF
MONTELUKAST 10MG TABLET,0,8.25,15,TABLETS AND CAPSULES,RIGHT SIDE SHELF
ROBITUSSIN CAPSULE,0,11.5,15,TABLETS AND CAPSULES,RIGHT SIDE SHELF
SINECOD FORTE TABLET,0,20.8,25,TABLETS AND CAPSULES,RIGHT SIDE SHELF
SOLMUX CAPSULE,30,10.9,13,TABLETS AND CAPSULES,RIGHT SIDE SHELF
TUSERAN CAPSULE,32,10,12,TABLETS AND CAPSULES,RIGHT SIDE SHELF
VENTOLIN ROTACOP,32,9.75,11,TABLETS AND CAPSULES,RIGHT SIDE SHELF
ZYKAST 10MG TABLET,30,32,35,TABLETS AND CAPSULES,RIGHT SIDE SHELF
SALBUTAMOL 2MG TABLET,0,0.28,2,TABLETS AND CAPSULES,RIGHT SIDE SHELF
SALBUTAMOL 4MG TABLET,79,0.45,3,TABLETS AND CAPSULES,RIGHT SIDE SHELF
SAMBONG LEAF TABLET,0,4.35,10,TABLETS AND CAPSULES,RIGHT SIDE SHELF
CEFALEXIN 500MG,45,3,6,TABLETS AND CAPSULES,RIGHT SIDE SHELF
AMOXICILLIN 500MG CAPSULES,56,1.75,5,TABLETS AND CAPSULES,RIGHT SIDE SHELF
AMOXICILLIN 250MG CAPSULES,41,0.98,3,TABLETS AND CAPSULES,RIGHT SIDE SHELF
AZITHROMYCIN 500MG TABLET,12,43.33,70,TABLETS AND CAPSULES,RIGHT SIDE SHELF
CEFUROXIME 500MG TABLET,9,16,35,TABLETS AND CAPSULES,RIGHT SIDE SHELF
CEFIXIME 200MG TABLET,0,7.25,30,TABLETS AND CAPSULES,RIGHT SIDE SHELF
CO-AMOXICLAV 625MG TABLET,74,17.07,35,TABLETS AND CAPSULES,RIGHT SIDE SHELF
CLINDAMYCIN 300MG CAPSULES,17,4.62,10,TABLETS AND CAPSULES,RIGHT SIDE SHELF
CIPROFLOXACIN 500MG TABLET,31,2.93,10,TABLETS AND CAPSULES,RIGHT SIDE SHELF
CLOXACILLIN 500MG CAPSULES,86,3.75,8,TABLETS AND CAPSULES,RIGHT SIDE SHELF
COTRIMOXAZOLE 800MG/160MG TABLET,20,1.52,8,TABLETS AND CAPSULES,RIGHT SIDE SHELF
ERTHYROMYCIN 500MG TABLET,16,2.89,10,TABLETS AND CAPSULES,RIGHT SIDE SHELF
LEVOFLOXACIN 500MG TABLET,0,3.1,20,TABLETS AND CAPSULES,RIGHT SIDE SHELF
METRONIDAZOLE 500MG TABLET,127,0.8,5,TABLETS AND CAPSULES,RIGHT SIDE SHELF
COLCHICINE TABLET,22,1.5,5,TABLETS AND CAPSULES,RIGHT SIDE SHELF
ATENURIX 40MG,0,20.06,25,TABLETS AND CAPSULES,RIGHT SIDE SHELF
ATENURIX 80MG,2,27.5,32,TABLETS AND CAPSULES,RIGHT SIDE SHELF
DUPHASTON TABLET,20,78.8,85,TABLETS AND CAPSULES,RIGHT SIDE SHELF
ISOXILAN TABLET,6,22.5,30,TABLETS AND CAPSULES,RIGHT SIDE SHELF
LASIX 40MG,0,26.25,30,TABLETS AND CAPSULES,RIGHT SIDE SHELF
METHELERGOMETRIN TABLET (METHERGIN),0,1.26,6,TABLETS AND CAPSULES,RIGHT SIDE SHELF
DICYCLOVERINE 10MG TABLET,38,0.28,5,TABLETS AND CAPSULES,RIGHT SIDE SHELF
BUSCOPAN TABLET,20,27.6,30,TABLETS AND CAPSULES,RIGHT SIDE SHELF
BUSCOPAN PLUS,20,33.75,40,TABLETS AND CAPSULES,RIGHT SIDE SHELF
BUSCOPAN VENUS,20,33.75,35,TABLETS AND CAPSULES,RIGHT SIDE SHELF
HYCOSCINE TABLET,15,4.87,10,TABLETS AND CAPSULES,RIGHT SIDE SHELF
DULCOLAX TABLET,12,22.25,25,TABLETS AND CAPSULES,RIGHT SIDE SHELF
DIATABS,32,7.75,10,TABLETS AND CAPSULES,RIGHT SIDE SHELF
IMODIUM,20,15.5,20,TABLETS AND CAPSULES,RIGHT SIDE SHELF
LOMOTIL,20,10.75,12,TABLETS AND CAPSULES,RIGHT SIDE SHELF
LOPERAMIDE CAPSULE,0,0.49,5,TABLETS AND CAPSULES,RIGHT SIDE SHELF
HYDRITE,20,17,18,TABLETS AND CAPSULES,RIGHT SIDE SHELF
KREMIL-S,40,8.5,9,TABLETS AND CAPSULES,RIGHT SIDE SHELF
KREMIL-S ADVANCE,20,20,23,TABLETS AND CAPSULES,RIGHT SIDE SHELF
MOTILIUM TABLET,0,31.8,37,TABLETS AND CAPSULES,RIGHT SIDE SHELF
RESTIME TABLET,0,6.93,12,TABLETS AND CAPSULES,RIGHT SIDE SHELF
SENOKOT FORTE TABLET,1,18.5,25,TABLETS AND CAPSULES,RIGHT SIDE SHELF
OMEPRAZOLE 20MG TABLET,30,1.26,10,TABLETS AND CAPSULES,RIGHT SIDE SHELF
OMEPRAZOLE 40MG TABLET,65,4.45,20,TABLETS AND CAPSULES,RIGHT SIDE SHELF
RANITIDINE 150MG TABLET,54,1.26,10,TABLETS AND CAPSULES,RIGHT SIDE SHELF
ESOMEPRAZOLE 40MG TABLET,28,4.76,35,TABLETS AND CAPSULES,RIGHT SIDE SHELF
PANTOPRAZOLE 40MG,3,5.25,35,TABLETS AND CAPSULES,RIGHT SIDE SHELF
POTENCEE 1000MG,0,9.79,14,TABLETS AND CAPSULES,RIGHT SIDE SHELF
POTENCEE 500MG,30,6,7,TABLETS AND CAPSULES,RIGHT SIDE SHELF
CALCIUM CARBONATE 500MG TABLET,100,0.75,5,TABLETS AND CAPSULES,RIGHT SIDE SHELF
CENTRUM ADVANCE CAPSULE,20,10,12,TABLETS AND CAPSULES,RIGHT SIDE SHELF
CENTRUM SILVER ADVANCE CAPSULE,20,12.5,15,TABLETS AND CAPSULES,RIGHT SIDE SHELF
CONZACE,0,11.53,14,TABLETS AND CAPSULES,RIGHT SIDE SHELF
ENERVON CAPSULES,26,6.16,8,TABLETS AND CAPSULES,RIGHT SIDE SHELF
REVICON TABLET,20,5.5,6,TABLETS AND CAPSULES,RIGHT SIDE SHELF
MULTIVITAMINS (HANIZYN) CAPSULES,0,0.96,5,TABLETS AND CAPSULES,RIGHT SIDE SHELF
MULTIVITAMINS (MULTILEM) CAPSULES,0,0.96,5,TABLETS AND CAPSULES,RIGHT SIDE SHELF
MULTIVITAMINS+IRON (FORALIVIT) CAPSULES,47,1.81,5,TABLETS AND CAPSULES,RIGHT SIDE SHELF
FERROUS SULFATE (BRISOFER) CAPSULES,27,1.37,5,TABLETS AND CAPSULES,RIGHT SIDE SHELF
FOLIC ACID CAPSULE,58,1.24,5,TABLETS AND CAPSULES,RIGHT SIDE SHELF
FOLART,0,9.3,12,TABLETS AND CAPSULES,RIGHT SIDE SHELF
FERELAC CAPSULES,113,2.35,8,TABLETS AND CAPSULES,RIGHT SIDE SHELF
CALTRATE PLUS,0,7.35,10,TABLETS AND CAPSULES,RIGHT SIDE SHELF
SANGOBION,0,24.4,28,TABLETS AND CAPSULES,RIGHT SIDE SHELF
HEMARATE FA,0,23.8,25,TABLETS AND CAPSULES,RIGHT SIDE SHELF
HERACLENE 1MG,0,17.7,20,TABLETS AND CAPSULES,RIGHT SIDE SHELF
HERACLENE 3MG,25,44.58,50,TABLETS AND CAPSULES,RIGHT SIDE SHELF
"VITAMIN B1,B6,B12 (NEURONERV) TABLET",65,3.56,6,TABLETS AND CAPSULES,RIGHT SIDE SHELF
PHAREX VITAMIN B-COMPLEX TABLET,0,4.8,7,TABLETS AND CAPSULES,RIGHT SIDE SHELF
DOLO-NEUROBION TABLET,10,26,30,TABLETS AND CAPSULES,RIGHT SIDE SHELF
NEUROBION TABLET,0,22.65,25,TABLETS AND CAPSULES,RIGHT SIDE SHELF
NEUROGEN-E TABLET,0,12.81,15,TABLETS AND CAPSULES,RIGHT SIDE SHELF
STRESSTAB,20,10.5,13,TABLETS AND CAPSULES,RIGHT SIDE SHELF
MEDIFORTAN-AS,15,15.2,22,TABLETS AND CAPSULES,RIGHT SIDE SHELF
MYRA E,9,11.9,14,TABLETS AND CAPSULES,RIGHT SIDE SHELF
ASCORBIC-ACID 500MG TABLET GENERIC,0,0.6,4,TABLETS AND CAPSULES,RIGHT SIDE SHELF
ASCORBIC-ACID+ZINC 500MG TABLET,3,1.8,6,TABLETS AND CAPSULES,RIGHT SIDE SHELF
CEELIN PLUS CHEWABLE TAB.,8,6.8,8,TABLETS AND CAPSULES,RIGHT SIDE SHELF
NUTRICLEANSE CAPSULES,0,18,20,TABLETS AND CAPSULES,RIGHT SIDE SHELF
GUARD-C CAPSULES,20,6.8,12,TABLETS AND CAPSULES,RIGHT SIDE SHELF
PROPAN WITH IRON,20,28.75,33,TABLETS AND CAPSULES,RIGHT SIDE SHELF
SLEEPWELL,0,16.3,20,TABLETS AND CAPSULES,RIGHT SIDE SHELF
EVENING PRIMEROSE CAPSULES,0,11.83,25,TABLETS AND CAPSULES,RIGHT SIDE SHELF
POWERCELL CAPSULES,0,18,20,TABLETS AND CAPSULES,RIGHT SIDE SHELF
XANTHONE PLUS CAPSULES,16,11.5,15,TABLETS AND CAPSULES,FRONT SIDE SHELF
DRIVEMAX CAPSULES,0,105,115,TABLETS AND CAPSULES,FRONT SIDE SHELF
DRIVEMAX COFFEE,0,39.1,55,TABLETS AND CAPSULES,FRONT SIDE SHELF
POWERCELL SALABAT,19,14.5,18,TABLETS AND CAPSULES,FRONT SIDE SHELF
BIGUERLAI,17,6.4,10,TABLETS AND CAPSULES,FRONT SIDE SHELF
BIOFITEA,6,5.33,8,TABLETS AND CAPSULES,FRONT SIDE SHELF
LOLA REMEDIOS,0,9.1,12,TABLETS AND CAPSULES,FRONT SIDE SHELF
MARKCAFE,0,14.85,18,TABLETS AND CAPSULES,FRONT SIDE SHELF
MX3 COFFEE,0,17,19,TABLETS AND CAPSULES,FRONT SIDE SHELF
MX3 CAPSULES,26,15.11,19,TABLETS AND CAPSULES,FRONT SIDE SHELF
